,Priority,Summary,time
103,2,spring web flow localvalidatorfactorybean (jsr- ) does not work how is expected,2
104,2,webflow.xsd - start state is missing. add at least one state to the flow,2
105,0,"after a submit with p:commandbutton with ajax=""false"" and validation error, all values are cleared in form",2
106,2,incorrect link in web tutorial,0
107,0,send mulitpart file from controller to jsp,0
108,0,web flow action not executed,2
109,0,jsf composite component causes propertynotfoundexception,1
110,1,web flow . . broken with hibernate,0
111,2,flash scope incorrect description,1
112,2,nomatchingtransitionexception is not triggered,0
113,2,jsf . compatibility broken,0
114,1,samples are not buildable via maven,0
115,2,flowdefinitionregistrybuilder.flowlocation creates unmodifiable map,0
116,0,dynamic added components broken with mojarra . . and above - state saved twice,1
117,0,jsfviewfactory.getviewstateviewroot() calls static method flowresponsestatemanager.hasstate() => doesn't work with trinidad coreresponsestatemanager,1
118,2,jsf . compatibility broken,1
119,2,spring-webflow- . -to- . .xsl is missing,1
120,2,no exception handling for firerequestprocessed in flowexecutionimpl.start and flowexecutionimpl.resume,1
121,2,swf cannot be build from repository source,1
122,1,npe when using richfaces . . rich tree in restore view phase,2
123,0,this issue relates to swf- . same problem even in . . .,1
124,1,wrong path to /javax.faces.resource/jsf.js,2
125,0,race condition in webflow,0
126,0,formatter: call method parse() during show ui,1
127,2,display a message when session expiration forces the flow to restart,2
128,1,nullpointerexception in flowhandleradapter.saveflashoutput(âš),2
129,2,portlet flowhandleradapter config samlpe incorrect in chapter,0
130,2,illegalaccessexception running on google app engine,0
131,1,conversionservice fails to find datamodel converter,1
132,1,pdf reference documentation missing pictures code formatting,2
133,2,composite components displayed at bottom of page after clicking commandlink,1
134,0,spring mvc model mettod addattribute adds the attibute but fails to update the view.,0
135,1,incorrect maxheapsize value in gradlew.bat and build.gradle,0
136,1,scopesearchingpropertyaccessor cause npe,1
137,2,prevent npe in mojarra when creating initial view,1
138,1,documentation: rich faces integration (jsf . ),1
139,2,jsfmanagedbeanpropertyaccessor causes early release of facescontext,1
140,1,replace $... with #... in expression examples in flow xsd,2
141,2,primefaces resources access failed for root servlet mapping,0
142,0,java.lang.nullpointerexception in webflow evaluateaction@ bf expression,0
143,0,web flow using too much memory,2
144,2,add support for partial state saving in myfaces,1
145,0,support hibernate,2
146,1,booking faces demo doesn't work with tomcat,0
147,1,file upload request not recognized as an ajax request in primefaces .,0
148,1,jsf ajax request detection is not reliable enough,0
149,1,locktimeoutexception occurring for a single request transaction,0
150,2,"when view has a parent, inherited global transitions does not work",0
151,2,class imported in flowexecutionexceptionhandler but never used,0
152,1,object validation error not binding to error in taglib.,1
153,2,error on transition's attributes element shown in appendix on swf documentation,1
154,2,xml schema issue in mvc configuration.,1
155,1,accessing a local variable in a jsf view resolves to flowscope variable instead.,1
156,2,misaligned text in section - (page ) of reference manual for . . (pdf),1
157,1,cnat'tto sort,1
158,1,"incorrectly filled form is blank after submit when ajax=""false"" on commandbutton",1
159,1,the @listenerfor annotation for postrestorestateevent doesn't work with spring web flow,1
160,1,doesn't work jsf annotation @listenerfor with spring web flow,0
161,2,unable to build samples using maven,1
162,1,embedded mode ignored for sub-flow sessions,2
163,1,facescontext.isvalidationfailed() should return true if web flow's messagecontext has errors,2
164,1,issues during session replication - flow object not injected/set properly in flow engine or possibility of flow object being null is not handled.,2
165,1,mockviewfactorycreator$mockview.getflowevent() doesn't give attributes to created event,0
166,2,no programmer error message when actions are configured in an action state,2
167,1,fileupload doesn't work in richfaces . . final,2
168,2,partial rendering problem with richfaces,2
169,0,messagesource bean defined in application context configuration file is never used by spring web flow,2
170,2,mapadaptablepropertyaccessor canread method always returns true,2
171,2,exception when refreshing page with jsf composite component.,2
172,2,webflow configuration documentation shows old version of xsd,2
173,0,npe in flowviewstatemanager.saveview when not a flow request,1
174,1,flowexecutionfactory creates flowexecution instances with same map of attributes,2
175,2,method 'shouldvalidate' should be protected in abstractmvcview,2
176,1,primefaces dynamic menu and swf view restoration,0
177,2,pdf documentation doesn't contain images,2
178,1,conversion fails for genric typed class,2
179,0,two concurrent threads in an expression of a flow override the rootobject of evaluation context,2
180,1,jsfajaxhandler does not set content type when sending a partial response with a redirect instruction,0
181,2,view transition through the commandlink fails if the commandlink is not located in the first page of a primefaces' paginated datatable that is partially rendered,0
182,0,webflow- and primefaces-integration doesn't work with ie ( / ),0
183,1,primefaces' commandbutton does not work on view transition in internet explorer.,0
184,2,dojo.require may not have sufficient time to load under some circumstances,1
185,1,inconsistent behaviour when disabling back button,1
186,2,reference documentation for spring web flow . needs to be fixed to correct versions,0
187,1,webflow . problem when using mvc view resolver,0
188,1,regression in showing global messages only,0
189,2,flowviewresponsestatemanager should call delegate ispostback(),0
190,1,javax.faces.viewstate hidden field resolves to spring webflow state id instead of outer faces state,0
191,1,flowfacescontext.newinstance should take into account that the incoming request could be a faces request and put away the original facescontext so that it could be restored upon flowfacescontext.release,0
192,2,portletexternalcontextimpl should mimic the behavior of the jsfportletbridge implementation,1
193,2,issues regarding https://jira.springframework.org/browse/swf- fix,0
194,1,messagecontexterrors doesn't obey the errors contract,0
195,1,servletrelative redirects don't work with default-servlet-handler,0
196,2,views are not inherited from parent flow,1
197,1,spring faces throws npe when writing flow state if jsf servlet is called instead of spring dispatcher servlet,0
198,2,flowexecutionimpl: handleexception ignores result of another handleexception,1
199,0,spring webflow . . integration with spring security . .,2
200,1,illegalargumentexception in convertingpropertyeditoradapter due to invalid beanwrapper expression,1
201,2,securityflowexecutionlistener compatibility with security,0
202,2,changelog version typo,0
203,2,genericconversionservice for string.class causes duplicate converters,0
204,2,spring webflow . . is incompatible with jsf . (mojorra),0
205,2,removing <script> tags from a partial response causes issues when using richfaces data tables,1
206,1,jsf centric integration,2
207,1,merge fixes from swf . .,2
208,1,add support for delegating to a spring mvc viewresolver from a jsf viewhandler,2
209,1,provide support for resolving messages from a messagesource in a jsf view.,2
210,1,provide facelets tags for spring security,2
211,2,*selectiontrackinglistdatamodel needs more reference documentation,2
212,1,"after a j:commandlink execution and save w/validation failure subsequent calls to ""save"" flow won't engage",2
213,1,"<sf:commandlink /> and <sf:commandbutton />: ""disabled"" attribute not working",1
214,1,no api documentation for spring-js library,2
215,0,datepattern attribute not honored in spring js decorator for dojo datetextbox,2
216,1,form elements do not get properly decorated when the 'widgetattrs' property is omitted from the decoration,2
217,1,spring.elementdecoration takes the wrong element name when submitting a form,2
218,2,split out jsf specific methods from flowfacescontext for backwards compatibility with jsf .,1
219,1,ajaxtilesview does not handle cascaded attributes properly for dynamically generated tiles definitions.,1
220,2,incorrect distribution of methods between flowapplication and jsf flowapplication,0
221,1,spring web flow looses the extension ( as configured in the servlet mapping ) whenever redirects a request on session timeout.,0
222,1,custom converters don[t work when adding subclassing facesconversionservice and overriding method,0
223,2,"using history=""invalidate"" results in conversionexecutornotfoundexception where target class is org.springframework.webflow.engine.history",0
224,2,messagecontexterrors resolvemessagecodes,2
225,1,incorrect phaselistener execution order,1
226,1,nullpointerexception in org.springframework.faces.ui.progressiveuicommand when the facelets included with mojarra . . is enabled,0
227,2,the version of jsf in jsf-booking and swf-booking-faces pom.xml should be jsf . (not . ),1
228,2,ajaxtilesview fails to render multiple fragments,0
229,1,registering implementation of mapper in classes extending abstractmvcview is not trivial,0
230,1,converter to collection type is wrapped with a second collection,0
231,2,hyphen / dash (-) not allowed in modelattribute value,0
232,2,spring-webflow- . -maintenance branch does not build,0
233,0,ajaxtilesview does not work with spring and tiles . .,2
234,1,facescontext.setviewroot(..) should be called in flowviewstatemanager.restoreview(..),1
235,2,problem with clustered sessions,1
236,2,jpaflowexecutionlistener does not close db-connections when lazy loading is used,1
237,2,swf & spring portlets nosuchmethoderror portlet.flowhandleradapter.checkandprepare,1
238,2,hitting escape or close on a popup causes webflow to become out of sync,2
239,2,booking-mvc sample does not build,2
240,2,myfaces bugs causes facesmessage serialization failure in a clustered environment,1
241,2,web flow first wants to resolve the model before even checking if a databinding should be done at all,0
242,2,apache trinidad ajax requests (ppr) don't work.,0
243,1,sql injection in example application,2
244,1,validator only runs if signature matches exact model object class,1
245,2,npe in flowhandleradapter.sendflowdefinitionredirect when flowredirect does not have parameters appended to it,1
246,1,wrong id assigned to the flow when the flows are registred using flow-location-pattern and base-path,0
247,1,converter not applied when going from list to string,1
248,1,endless redirects happens when more then one request parameter is present on redirect,1
249,1,spring webflow throws illegalargumentexception while binding map entries,1
250,2,validationhelper should make use of validator.supports method,2
251,2,unclosed tags in documentation,1
252,2,tomahawk datascroller will only render page of the pagination,1
253,2,'please define titleabbrev in your docbook file!' in pdf manual,1
254,1,id handling of spring ajaxviewroot causes problems to richfaces ajaxviewroot,1
255,1,jsf . -specific call to statemanager.saveview should be replaced with saveserializedview for jsf . compatibiliy,1
256,0,spring-faces . . release does not contain the spring-faces- . .xsd,0
257,1,"flow execution url returned from externalcontext.getflowexecutionurl(string, string) is not encoded",0
258,1,ajax refresh of a fragment causes whole page to be refeshed in ie,0
259,1,jsf view state is maintained across redirects even if the view-state has been exited and re-entered,0
260,1,an exception transition fails to transition if the exception occurs before the first view state is entered.,0
261,1,execution key is not always incremented.,0
262,1,no redirect after post occurs after server-side validation error,2
263,1,"flowhandlermapping not traversing flow registry hierarchy for flows, only queries the child registry",0
264,1,merge process causes duplicate entries in parent transitions.,0
265,0,ajaxtilesview composite definition traversal algorithm ignores attributetype,0
266,1,flash scope not cleared if user handles response by calling externalcontext.recordresponsecomplete(),0
267,1,webflowmessagecodesresolver creates leading '.' in the messagecodes,0
268,0,viewscope variable is not getting destroyed,0
269,2,selectiontrackingactionlistener throws npe when component's parent is null,0
270,1,infinite loop when using swf ajax,0
271,1,org.springframework.js.resource.resourceservlet - an attempt to access a protected resource at /dojo/resources/blank.html was disallowed.,0
272,1,nullpointerexception with rich:messages,0
273,1,spring.remotinghandler handleresponse method should use a display:none span element,0
274,1,manyselectiontrackinglistdatamodel and oneselectiontrackinglistdatamodel don't track selections correctly when using a <rich:datascroller> component,0
275,2,webflowmessagecodesresolver breaks backward compatiblity with jdk . and appends empty prefix code,0
276,0,viewstate.resume should check externalcontext.isresponsecomplete before rendering or requesting redirect,0
277,1,java.lang.stackoverflowerror,0
278,2,flowfacescontext didn't expose context messages with null source,0
279,1,ajaxtilesview does not handle cascaded attributes properly,2
280,0,transitionexecutingflowexecutionexceptionhandler hides log message,1
281,1,messages restored from flash scope (defaultmessagecontext) are not in the same order of source messages,0
282,2,typo in el exception message: is the base variable ''foo' spelled correctly?,1
283,1,"report: web flow redirects are losing channel information, e.g. a current https url is changed to a plain http url resulting in a not found on the redirect",1
284,1,"web flow redirects after post, even if alwaysredirectonpause is false or redirect attribute is false on view-state",1
285,1,there's no obvious way to create a custom flowhandleradapter for the flowcontroller,1
286,1,select dropdowns don't maintain selected state in ie when rendered into a modal dialog from an ajax response,0
287,1,can't build behind firewall using '-with-depencies' release,2
288,1,url not encoded in struts environment webflow . .,0
289,2,<faces:flow-builder-services> tag does not support development attribute,0
290,1,filenameflowurlhandler does not implement createflowdefinitionurl,2
291,0,'valid' property of input components gets lost before jsf render phase in portlet,1
292,1,'<transition on-exception' for accessdeniedexception handling does not work,1
293,1,document spring mvc binding error message code generation rules,1
294,2,abstractflowexecutiontests.assertflowexecutionoutcomeequals() has junit arguments reversed,2
295,0,flowfacescontext does not return the same facesmessages instances,2
296,1,richfaces rich:fileupload transfer error,1
297,1,"popup=""true"" results in nomatchingtransitionexception",0
298,1,"popup=""true"" results in nomatchingtransitionexception",0
299,1,fields on sequent pages with identical ids are populated with wrong values,2
300,1,performing a commit against a persistencecontext on sessionended prevents capturing a commit failure,1
301,1,problem with the pop up,2
302,1,defaultflowurlhandler does not take into account servlet mapping suffix in createflowdefinitionurl,0
303,1,stringtoenum throws illegalargumentexception for enum-based properties of model,1
304,1,when handling exceptions <on-start> flow execution key is not set and that causes an illegalstateexception,1
305,1,jsfviewfactory not correctly checking if viewalreadyset,1
306,1,ie command link javascript broken,1
307,1,flowdefinitionresourcefactory.getflowid does not remove the classpath scheme if the resource implements contextresource,0
308,1,change subfow-state to subflow-state and getmessagecontext() to getmessages(),1
309,1,maven central artifact ids match springsource enterprise bundle repository artifact ids which can lead to dependency resolution conflicts,1
310,1,"flow id not properly calculated when using ""classpath*:"" style resources in base-path",0
311,1,file extension left off when generating flow definition urls for requests mapped using a servlet-mapping of *.extension (like *.htm),0
312,1,beanwrapperexpressionparser does not respect target valuetype when applying propertyeditor->converter adapter logic,1
313,1,mvc form:checkbox and form:checkboxes tags do not apply registered converters for their item values,1
314,2,multiple jsf validators duplicate messages,1
315,1,custom converters do not get applied correctly with collection elements (array/lists),1
316,2,two . .x webflow packages missing package descriptions,0
317,0,stackoverflowerror when performing spring-js calls,0
318,1,subflow inheritance not working,0
319,1,regression of swf-,0
320,1,message code resolving in web flow seems broken,1
321,0,simpleelcontext is not thread-safe,0
322,1,wrong method specified in sample validation code for returning messagecontext from validationcontext,0
323,1,messagecontexterrors ignores nestedpath in getfieldvalue,1
324,1,flowhandlermapping cannot handle null flowids,1
325,2,spring.validatealldecoration decoration on submit input somehow prevent from setting dojo onload focus,0
326,1,evaluation with result mapping during subflow transition results in no transition,1
327,1,redirect after post causes ui to be inconsistent with model,1
328,1,render phase ignores facescontext.responsecomplete,1
329,2,the viewactionstateholder stays in flashscope after successfully transitioning to the next view,0
330,2,"booking mvc reference application: decorated radiobutton components do not bind ""on"" selected value",0
331,1,not possible to use errors object as an alternative to validationcontext on model validation methods,0
332,1,user entered values that cause binding failures not available in validationcontext during model validation.,0
333,1,"view data binding results lost after action phase in portlet environment, not propogating to render phase.",0
334,1,validation never runs if binding fails,0
335,1,base path behavior inconsistent between flow-location and flow-location-pattern,0
336,1,trim whitespace properly from fragments attribute in ajaxtilesview,0
337,1,no change in execution parameter with recursive subflow,0
338,1,incorrect flowexecutionurl if httpsession is url-rewrite-based (f.e. if you disable browser cookies),0
339,0,multiple fragments not rendering,0
340,1,locating of flow definitions broken when base-path not being used,0
341,2,decorating by validatealldecoration non existing element causes js error with no console help.,0
342,1,webflow jsf impossible mapping dispatcherservlet to /*,0
343,1,development mode flag not set for flows registered using flow-location-pattern,0
344,1,evaluation exceptions caused by type conversion errors within target expression of a data mapping not treating as a type conversion error,0
345,0,flow-registry base-path in combination with flow-location-pattern not working in dm server environment,0
346,1,xmlflowmodelbuilder uses java . string.contains() method (not compatible with jre . ),0
347,2,global transitions don't fire listeners,0
348,1,incorrect redirect in new session,2
349,1,ajaxtilesview throws null pointer exception if <definition> tag is empty,1
350,1,"resourceservlet crash and add ""error "" at the end of the streamed resource",0
351,1,ajaxtilesview fails for nested tiles-definition in case of an ajaxrequest,0
352,1,fix pom.xml for the js-project,0
353,2,enum mappings can fail if they override methods,0
354,1,"conversionexceptions thrown during el type coersion are leaking out, which causes the data mapping process to halt",0
355,1,ajax tiles partial renders fail when session is not available,0
356,1,server error pages are not getting correctly rendered in a popup with dojo . .,0
357,1,ajax commandlinks within <f:facet> do not work,1
358,1,flowresourceelresolver does not work outside of web flow environment,1
359,1,no documentation on messages generated by the web flow system during view->model binding,0
360,1,merging transitions doens't consider on-exceptions,1
361,1,custom converters registered by id should always execute if capable,0
362,1,document default flowurlhandling rules for /app/* and *.htm url forms,0
363,1,richfacesajaxhandler does not correctly deal with facescontext.getcurrentinstance() being null,1
364,1,conversion fails for genric typed class,2
365,1,http status after logging in to spring faces version of the spring travel booking app online,1
366,2,npe with empty <binder>-tag,0
367,2,reference documentation section .,1
368,2,"reference documentation, section .",1
369,2,reference documentation section .,1
370,2,"servletexternalcontext.getflowexecutionurl(..) returns a server-relative url, should be a context-relative one",1
371,1,swf-jsf: lost values after call a subflow with immediate=true,1
372,2,spring.remoting.submitform calls result in js error in ff,1
373,1,javascript error on enterbookingdetails page of swf-booking-mvc sample,0
374,1,page rerenders only it's datatable component after sorting.,0
375,1,when using jsf getmaximumseverity on the flowfacescontext returns null even if a message has been added,1
376,1,web flow . . and usespringbeanbinding,1
377,1,spring.remoting.submitform hard-codes a post,1
378,1,document how to implement and register custom converters.,1
379,1,changes to flow-local messages do not reflect without container restart,1
380,1,dojo datetextbox locale-specific formatting is not progressive,1
381,0,"after jsf validation/conversion errors, state is not returned correctly",1
382,1,formatting service attribute not exposed in webflow:flow-builder-services,1
383,2,richfaces a j loadstyle doesn't get rendered,1
384,2,regression: ognl/binding exceptions i . .,1
385,1,conversionservice not used with elexpression on getvalue calls,0
386,1,custom conversionservice implementation not getting registered with default expressionparser,0
387,1,binding to [null] objects with ognl used as the expressionparser is causing a nullpointerexception,0
388,1,zip file has problem file names,0
389,1,messagecontexterrors implementation does not implement all errors methods,0
390,1,on-exception transition does not work because ognl.methodfailedexception.getcause() returns null,1
391,1,flowresourceflowviewresolver.getviewinternal does not use the property,1
392,1,failed to read schema document 'http://www.springframework.org/schema/webflow-config/spring-webflow-config- . .xsd',1
393,1,child flows are unable to extend from parent flows located in a parent flow definition registry,1
394,2,typo in sentence in documentation,1
395,1,transition back to the same view-state in the same request triggers a redirect,0
396,2,testgetnodeattributesasstring_datevalue fails when in wrong time zone,0
397,1,illegalaccesserror when mockrequestcontext tries to access defaultmessagecontext,1
398,1,spring travel mvc sample: partial-refresh of messages div on booking form validation error causes erroneous dojo popup to appear with empty body in ff,0
399,0,does not work in firefox,0
400,1,"flowresourceflowviewresolver hardcoded to "".jsp""",1
401,0,sample jsf/swf portlet does not function and does not use jsr- compliant bridge,0
402,1,null value setted to model if conversion imposible,0
403,1,test fail during provided build,0
404,1,wildcard support for flow location of flows within registry (related to http://jira.springframework.org/browse/swf- ),0
405,0,sf:commandlink breaks on ie for multiple buttons,1
406,0,spring faces creates xhtml-incompatible javascript scripts,1
407,1,flow definition registry canâžt access xml flow definitions inside unexpanded web application archives.,1
408,1,application errors are hidden when they occur during an ajax request,0
409,1,resourceservlet returns wrong page,0
410,1,transition on-exception not handled with ognl,1
411,1,java.io.notserializableexception: org.springframework.orm.jpa.sharedentitymanagercreator,1
412,1,snapshot deserialization broken when using quipukit:datatable component,1
413,2,conversion services not used during binding when integrating with spring mvc,1
414,1,spring managed beans (scope=flow) lose reference to hibernate sessionfactory (nullpointerexception),1
415,1,java.lang.illegalstateexception: no scope registered for scope 'flow',1
416,0,sf:commandlink fails on ie when javascript disabled,1
417,1,"bind=""false"" on a global transition doesn't seem to have any effect",1
418,2,spring-js uses java . method calls,0
419,1,external redirecting not working.,1
420,0,spring.js ajaxeventdecoration not showing correct selected item in internet explorer,0
421,0,jsf character encoding not set to utf-,0
422,1,spring webflow . . decorator's uppercase attribute is not working,0
423,1,facesmessage.severity_fatal does not propagate through flowfacescontext,1
424,1,facesmessage.detail does not propagate through flowfacescontext,1
425,1,"using the browser back button displays wrong data, if validation errors occurs",1
426,1,can't place scoped-proxied beans into flow scope,2
427,1,flowphaselistener should save away jsf view state before issuing a flow execution redirect,0
428,1,enhance flowphaselistener to have it maintain facesmessages accross client side redirects,0
429,0,selectedrow doesn't work for jpa-annotated class having superclass with @mappedsuperclass,0
430,1,propertyplaceholderconfigurer within bean file imported into flow xml using 'bean-import' does not recognize classpath:,1
431,1,form binding with numeric 'name' fails and causes binding error,1
432,0,h:commandlink didn't work in datatable,0
433,2,invalid servlet / servlet-mapping in serving javascript resources doco,1
434,1,illegalargumentexception is thrown in the event constructor when methods returns an empty string in a <evaluate /> action.,1
435,1,'title' attribute not getting properly copied from the source node of a spring.elementdecoration,0
436,1,spring faces dojo validation tags not rendering 'propercase' attribute.,0
437,1,transition doesn't work if jsf view resolver is configured,0
438,1,labeledenum unusabled in java,1
439,1,abstractmvcview ignores conversionservice,1
440,1,clone -methods returning an empty string in a <bean-action> will cause the event constructor to fail,1
441,1,unable to access facescontext.getcurrentinstance() from transition expression,0
442,1,correct spring security config in sample applications,0
443,0,component bindings not executed for components in facets,0
444,1,multiple checkboxes to collection mapping,1
445,1,faces does not set components to valid on restore,0
446,2,testgetnodeattributesasstring_datevalue fails when not in the usa,0
447,1,documentation: validating an object,0
448,1,<sf:ajaxevent> for <h:selectoneradio> worked in rc but stopped working in . .,0
449,1,view rendering from end-state not working,1
450,1,document expressionparser configuration for spring faces,0
451,1,resourceservlet allows http access to sensitive files,0
452,1,spring.elementdecoration should properly copy any style class or inline style from the decorated node.,0
453,2,various (small) reference documentation errors / inconsistencies,0
454,2,booking-faces security-config.xml configuration is not correct,0
455,1,"ajaxenabled=""false"" causing javascript error with <sf:commandlink>",0
456,2,clarify the purpose of the jsf-booking example,0
457,2,build failure if using dutch (nl-nl) locale,0
458,2,please provide more information on junit testing in webflow docs,1
459,2,upgrade guide includes inaccurate example code for flow request url handler,1
460,1,link in header of datatable,0
461,2,sf:clienttextvalidator doesn't respect custom faces converter,0
462,2,npe in transition#gettargetstateid(),0
463,1,mockviewfactorycreator not backwards compatible with java .,0
464,1,abstractmvcview not backwards compatible with java .,0
465,1,redirect resonse code should be configurable ( or ),0
466,2,sophisticated transitional expressions issue,0
467,1,global messages displayed with <h:messages/> cannot be found in flow-local messages.properties,0
468,1,popup view state does not disappear after externalredirect.,1
469,1,sf and richfaces components not showing when rendering dynamically,1
470,2,"exception text error, wrong scoped map name.",1
471,1,failure in regular expression to find the <script> tags,1
472,1,"when loading applicationcontext resources, use resource.getinputstream() instead of resource.getfile()",0
473,1,spring beans defined in app context do not appear to be accessible using ognl. test case provided.,0
474,2,wrong osgi headers for spring core imports,1
475,2,inherited flow's global transition not recognised when returning from a sub-flow.,1
476,1,cannot reject field-specific values through the errors interface,0
477,1,unknownhostexception causes exceptionininitializererror,2
478,1,ognl expressions are not working correctly for setting things in flowscope,0
479,1,numberformatexception not getting caught,0
480,1,ajaxtilesview does not resolve deeply nested tiles attributes for rendering as fragments if the containing view has not previously been rendered.,0
481,1,"mvcview.render() incorrectly assumes ""requestcontext.getflowexecutioncontext().getkey()"" is not null",0
482,1,ci- api docs broken,0
483,1,filenotfoundexception while using weblogic and swf classpath flow-location-pattern,0
484,1,nosuchconversationexception in safari browser when deployed on tomcat . .x on a linux machine,1
