Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depends),Outward issue link (Duplicate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Related),Outward issue link (Related),Outward issue link (Supersede),Outward issue link (Supersede),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actual Story Points),Custom field (Days since last comment),Custom field (Epic Link),Custom field (First Response Date),Custom field (Global Rank),Custom field (Last commented by a User),Custom field (Last updater),Custom field (Out of Scope),Custom field (Platform),Custom field (Pull Request URL),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Reference URL),Custom field (Spring Forum Reference),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Virtual Machine),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Redis Message Bus still accessed when using direct binding,XD-3612,66271,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,david_geary,david_geary,13/Oct/15 10:37 AM,13/Oct/15 5:04 PM,10/Jul/21 8:37 AM,,1.2.1,,,,,,,,Runtime,,,,,0,,,,,,,"I have a distributed XD Cluster with one admin and two containers using Redis as the message bus. In certain cases I want to use direct binding to remove communication with the message bus and deploy all modules to all containers with the aim of improving performance. I’ve found that even when using direct binding, XD still communicates with Redis when it shouldn’t need to. This could have an impact on performance.

This is easily reproducible in our 2 container cluster as follows:

Use the redis-cli monitor command to monitor Redis.

Create and deploy a simple stream with direct binding:

{code}
stream create --definition ""http | log"" --name httpLog
stream deploy --name httpLog --properties ""module.*.count=0""
{code}

As expected both modules get deployed to both nodes. Testing shows messages sent to the http endpoint of one container always come out in the log for that container implying direct binding is in play as expected.

However once the streams are deployed the Redis monitor starts showing a Redis queue being accessed from both XD conatiners:

{code}
1444731527.086325 [0 10.0.1.8:57454] ""brpop"" ""queue.httpLog.0"" ""1""
1444731528.086304 [0 10.0.1.4:37337] ""brpop"" ""queue.httpLog.0"" ""1""
1444731529.086341 [0 10.0.1.8:57454] ""brpop"" ""queue.httpLog.0"" ""1""
1444731530.086317 [0 10.0.1.4:37337] ""brpop"" ""queue.httpLog.0"" ""1""
1444731531.086340 [0 10.0.1.8:57454] ""brpop"" ""queue.httpLog.0"" ""1""
1444731532.086505 [0 10.0.1.4:37337] ""brpop"" ""queue.httpLog.0"" ""1""
{code}

This shouldn’t need to happen in direct binding. These messages stop once the stream is undeployed.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181094400,,2015-10-13 17:04:59.644,9223372036854775807,false,grussell(grussell),,,,"0|i08tvz:",9223372036854775807,9223372036854775807,,,,,,5.0,,"13/Oct/15 5:04 PM;grussell;Direct binding is a function of the producer; the consumer is able to receive messages from its bound producer as well as any other instances of the producer that might not be directly bound to a consumer.

With redis, the consumer has to poll (RPOP) the list for messages, with a timeout - this is what you are seeing.

The underlying channel adapter has a receive timeout which could be increased to reduce the frequency of these polls, but this is not currently exposed as a bus property. Be aware that increasing this timeout would be at the expense of being less responsive to an undeploy request.

This polling is very lightweight and shouldn't cause any undue performance issues.

If you are really concerned about this, I see two possibilities:

- add a property to the bus which stops the redis consumer (meaning it is no longer available to receive messages that way).
- expose a property to allow increasing the receive timeout.

",,,,,,,,,,,,,,,,,
SqoopTasklet doesn't use keytab configuration from hadoop.properties file,XD-3611,66266,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,hlagos,hlagos,13/Oct/15 1:26 AM,14/Oct/15 2:15 PM,10/Jul/21 8:37 AM,,1.2.1,1.3 M1,,,,,,,Batch,Hadoop,,,,0,Hadoop,Kerberos,Sqoop,,,,"Hey Guys,

I have been using the sqoopTasklet for a while but I found an unexpected problem. Basically I'm not able to configure kerberos authentication from hadoop.properties file as follow:

<util:properties id=""hadoopProperties"" location=""${xd.config.home}/hadoop.properties"" />

        <bean id=""sqoopTasklet"" class=""org.springframework.xd.sqoop.SqoopTasklet"">
                <property name=""arguments"">
                        <list>
                                <value>import</value>
                                <value>--connect otheroptions</value>
                        </list>
                </property>
                <property name=""hadoopProperties"" ref=""hadoopProperties"" />
        </bean>

hadoop.properties file:

fs.defaultFS=hdfs://hdfshost:8020
yarn.resourcemanager.hostname=host001
yarn.resourcemanager.address=host001:8032
yarn.resourcemanager.scheduler.address=host001:8030
mapreduce.jobhistory.address=host003:10020
yarn.application.classpath=$HADOOP_CLIENT_CONF_DIR,$HADOOP_CONF_DIR,$HADOOP_COMMON_HOME/*,$HADOOP_COMMON_HOME/lib/*,$HADOOP_HDFS_HOME/*,$HADOOP_HDFS_HOME/lib/*,$HADOOP_YARN_HOME/*,$HADOOP_YARN_HOME/lib/*,$HADOOP_MAPRED_HOME/*,$HADOOP_MAPRED_HOME/lib/*
mapreduce.framework.name=yarn
spring.hadoop.security.authMethod=kerberos
spring.hadoop.security.userPrincipal=user1@COMPANY.COM
spring.hadoop.security.userKeytab=/home/user1/user1.keytab
spring.hadoop.security.namenodePrincipal=hdfs/_HOST@COMPANY.COM
spring.hadoop.security.rmManagerPrincipal=yarn/_HOST@COMPANY.COM
spring.hadoop.security.jobHistoryPrincipal=mapred/_HOST@COMPANY.COM

or 

fs.defaultFS=hdfs://hdfshost:8020
yarn.resourcemanager.hostname=host001
yarn.resourcemanager.address=host001:8032
yarn.resourcemanager.scheduler.address=host001:8030
mapreduce.jobhistory.address=host003:10020
yarn.application.classpath=$HADOOP_CLIENT_CONF_DIR,$HADOOP_CONF_DIR,$HADOOP_COMMON_HOME/*,$HADOOP_COMMON_HOME/lib/*,$HADOOP_HDFS_HOME/*,$HADOOP_HDFS_HOME/lib/*,$HADOOP_YARN_HOME/*,$HADOOP_YARN_HOME/lib/*,$HADOOP_MAPRED_HOME/*,$HADOOP_MAPRED_HOME/lib/*
mapreduce.framework.name=yarn
security.authMethod=kerberos
security.userPrincipal=user1@COMPANY.COM
security.userKeytab=/home/user1/user1.keytab
security.namenodePrincipal=hdfs/_HOST@COMPANY.COM
security.rmManagerPrincipal=yarn/_HOST@COMPANY.COM
security.jobHistoryPrincipal=mapred/_HOST@COMPANY.COM

Running the job I'm getting the following error:

Encountered IOException running import job: org.apache.hadoop.security.AccessControlException: SIMPLE authentication is not enabled.  Available:[TOKEN, KERBEROS

So it means the sqooptasklet isn't setting the kerberos authentication, this basically because in the SqoopTasklet class is adding some prefix to the configurations (SPRING_HADOOP_CONFIG_PREFIX)

https://github.com/spring-projects/spring-xd/blob/master/extensions/spring-xd-extension-sqoop/src/main/java/org/springframework/xd/sqoop/SqoopTasklet.java

Really doesn't make sense for me add those prefix and remove it later in the next call in the SqoopRunner class. 

https://github.com/spring-projects/spring-xd/blob/master/extensions/spring-xd-extension-sqoop/src/main/java/org/springframework/xd/sqoop/SqoopRunner.java

If I inject  the security.* configurations directly to the list arguments it works. 

I'm sure you guys have a good reason to add the prefix  but I don't see why. Unfortunately is  annoying when you are developing in a local VM where you can test the  simple authentication and after move the job to dev/prod environments with kerberos auth, the above because you must change your sqooptasklet configuration injecting the new parameters. If the SqoopTasklet allows inject those parameters directly from the hadoop.properties file you don't need change tasklet  configurations to run your jobs with different authentication methods. 

Thanks in advance. 
Héctor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181008000,,2015-10-14 08:32:32.697,9223372036854775807,true,hlagos(hlagos),,,,"0|i08tuv:",9223372036854775807,9223372036854775807,,,,,,1.0,,"14/Oct/15 8:32 AM;jvalkeal;Yes these two classes and sqoop.xml got way too complex over time. It's true that dropping `spring.hadoop` prefix makes these not very intuitive and I'm not really sure why we did it. It definitely makes reuse of these classes difficult.

1. One reason to keep `spring.hadoop.config` around is that it's used in `yml` for passing generic hadoop config map as is.
2. Eventually we'd like to get to a point where it doesn't matter if props are added to hadoop.properties or servers.yml but one limitation exists in `ConfigurationFactoryBean` which only enables kerberos if correct keys a passed. We got into trouble with this. ","14/Oct/15 2:15 PM;hlagos;If the idea is keep the spring.hadoop.config prefix, in the SqoopRunner class should be added the prefix to the following lines

	public static final String SECURITY_AUTH_METHOD = ""security.authMethod"";
	public static final String SECURITY_USER_KEYTAB = ""security.userKeytab"";
	public static final String SECURITY_USER_PRINCIPAL = ""security.userPrincipal"";
	public static final String SECURITY_NAMENODE_PRINCIPAL = ""security.namenodePrincipal"";
	public static final String SECURITY_RM_MANAGER_PRINCIPAL = ""security.rmManagerPrincipal"";

it should fix the problem.
Regards,

Thanks,
Héctor
",,,,,,,,,,,,,,,,
Kafka source and sink headers shouldn't interfere with bus functionality,XD-3610,66265,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,mbogoevici,mbogoevici,mbogoevici,13/Oct/15 1:04 AM,18/Nov/15 6:18 PM,10/Jul/21 8:37 AM,18/Nov/15 6:18 PM,1.3 M1,,,,,,1.3 GA,,Stream Module,,,,,0,,,,,,,"The Kafka sink should not make use of the message headers sent by the Kafka receivers in the Kafka bus. 

Similarly, the headers received from the Kafka source should not be propagated when sending to the Kakfa bus. 

https://github.com/spring-projects/spring-xd/issues/1804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,181180800,,,9223372036854775807,false,sabby(sabby),,,https://github.com/spring-projects/spring-xd/pull/1860,"0|hzzy7m:",9223372036854775807,9223372036854775807,,,Sprint 62,,,1.0,,,,,,,,,,,,,,,,,,,
Set Bean Name in ConsumerEndpointFactoryBean,XD-3598,66209,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,grussell,grussell,grussell,07/Oct/15 3:02 PM,19/Oct/15 2:18 PM,10/Jul/21 8:37 AM,19/Oct/15 2:18 PM,,,,,,,1.3 RC1,,,,,,,0,,,,,,,{{LocalMessageBus}} and {{CompositeModule}}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,181612800,,,9223372036854775807,false,sabby(sabby),,,https://github.com/spring-projects/spring-xd/pull/1801,"0|hzzyl6:",9223372036854775807,9223372036854775807,,,Sprint 60,,,1.0,,,,,,,,,,,,,,,,,,,
Accessing Admin REST APIs on CF returns unexpected results,XD-3591,66189,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Invalid,,sabby,sabby,05/Oct/15 8:32 PM,24/Nov/15 2:39 PM,10/Jul/21 8:37 AM,24/Nov/15 2:39 PM,,,,,,,,,,,,,,0,,,,,,,"As an s-c-d user, I'm trying to access {{admin}} REST endpoints running on CF but I'm getting SSL authentication errors.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181526400,XD-3324,2015-10-08 09:02:10.778,9223372036854775807,true,sabby(sabby),,,,"0|i08p9y:yzzzzzzzzv",9223372036854775807,9223372036854775807,,,,,,1.0,,"08/Oct/15 9:02 AM;zteve;@sabby: Is this still a problem? If so, can you include some stacktraces or other diagnostic information you might have obtained?",,,,,,,,,,,,,,,,,
Fix datatype mismatch on admin-ui,XD-3590,66188,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,,,sabby,sabby,05/Oct/15 6:49 PM,13/Nov/15 9:41 PM,10/Jul/21 8:37 AM,,,,,,,,,,,,,,,0,,,,,,,"As a XD developer, I'd like to reproduce and fix anomalies as listed [here|https://github.com/spring-projects/spring-xd-admin-ui-client/issues/9].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181785600,,,9223372036854775807,true,sabby(sabby),,,,"0|i000ie:wrn0qzzzzzz000008u3ygfi03wig26fr02",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
AdminServer fails on HDP 2.3,XD-3568,66132,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,Complete,thomas.risberg,thomas.risberg,thomas.risberg,02/Oct/15 3:02 AM,05/Oct/15 7:48 PM,10/Jul/21 8:37 AM,05/Oct/15 7:48 PM,1.3 M1,,,,,,1.3 M1,,YARN Runtime,,,,,0,,,,,,,"Submitting XD on YARN for HDP 2.3 fails due to some Solr issue in Boot - https://github.com/spring-projects/spring-boot/issues/2795

The xd-admin sysout is:

{code}
Started : AdminServerApplication
Documentation: https://github.com/spring-projects/spring-xd/wiki

02:51:36,624  ERROR main boot.SpringApplication - Application startup failed
java.lang.IllegalStateException: Error processing condition on org.springframework.boot.autoconfigure.solr.SolrAutoConfiguration.solrServer
	at org.springframework.boot.autoconfigure.condition.SpringBootCondition.matches(SpringBootCondition.java:58)
	at org.springframework.context.annotation.ConditionEvaluator.shouldSkip(ConditionEvaluator.java:102)
	at org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.loadBeanDefinitionsForBeanMethod(ConfigurationClassBeanDefinitionReader.java:178)
	at org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.loadBeanDefinitionsForConfigurationClass(ConfigurationClassBeanDefinitionReader.java:140)
	at org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.loadBeanDefinitions(ConfigurationClassBeanDefinitionReader.java:116)
	at org.springframework.context.annotation.ConfigurationClassPostProcessor.processConfigBeanDefinitions(ConfigurationClassPostProcessor.java:333)
	at org.springframework.context.annotation.ConfigurationClassPostProcessor.postProcessBeanDefinitionRegistry(ConfigurationClassPostProcessor.java:243)
	at org.springframework.context.support.PostProcessorRegistrationDelegate.invokeBeanDefinitionRegistryPostProcessors(PostProcessorRegistrationDelegate.java:273)
	at org.springframework.context.support.PostProcessorRegistrationDelegate.invokeBeanFactoryPostProcessors(PostProcessorRegistrationDelegate.java:98)
	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:673)
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:519)
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:686)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:320)
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:139)
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:129)
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:129)
	at org.springframework.xd.dirt.server.admin.AdminServerApplication.run(AdminServerApplication.java:95)
	at org.springframework.xd.dirt.server.admin.AdminServerApplication.main(AdminServerApplication.java:79)
Caused by: java.lang.IllegalArgumentException: @ConditionalOnMissingBean annotations must specify at least one bean (type, name or annotation)
	at org.springframework.util.Assert.isTrue(Assert.java:68)
	at org.springframework.boot.autoconfigure.condition.OnBeanCondition$BeanSearchSpec.<init>(OnBeanCondition.java:223)
	at org.springframework.boot.autoconfigure.condition.OnBeanCondition.getMatchOutcome(OnBeanCondition.java:92)
	at org.springframework.boot.autoconfigure.condition.SpringBootCondition.matches(SpringBootCondition.java:45)
	... 17 more
02:51:36,628   WARN main annotation.AnnotationConfigApplicationContext - Exception thrown from LifecycleProcessor on context close
java.lang.IllegalStateException: LifecycleProcessor not initialized - call 'refresh' before invoking lifecycle methods via the context: org.springframework.context.annotation.AnnotationConfigApplicationContext@1cf1df22: startup date [Fri Oct 02 02:51:31 UTC 2015]; root of context hierarchy
	at org.springframework.context.support.AbstractApplicationContext.getLifecycleProcessor(AbstractApplicationContext.java:414)
	at org.springframework.context.support.AbstractApplicationContext.doClose(AbstractApplicationContext.java:966)
	at org.springframework.context.support.AbstractApplicationContext.close(AbstractApplicationContext.java:925)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:342)
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:139)
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:129)
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:129)
	at org.springframework.xd.dirt.server.admin.AdminServerApplication.run(AdminServerApplication.java:95)
	at org.springframework.xd.dirt.server.admin.AdminServerApplication.main(AdminServerApplication.java:79)
02:51:36,642  ERROR main admin.AdminServerApplication - Error processing condition on org.springframework.boot.autoconfigure.solr.SolrAutoConfiguration.solrServer
{code}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182131200,XD-1317,,9223372036854775807,false,thomas.risberg(thomas.risberg),,,https://github.com/spring-projects/spring-xd/pull/1797,"0|hzzyr6:",9223372036854775807,9223372036854775807,,,Sprint 59,,,3.0,,,,,,,,,,,,,,,,,,,
Fix classpath and servlet container issues,XD-3567,66131,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Blocker,Complete,thomas.risberg,thomas.risberg,thomas.risberg,01/Oct/15 9:44 PM,02/Oct/15 3:39 PM,10/Jul/21 8:37 AM,02/Oct/15 3:39 PM,,,,,,,1.3 M1,,Hadoop,Runtime,,,,0,,,,,,,"Several issues with 1.3.0.M1 staged version

- we now use Tomcat instead of Jetty which prevent s xd-admin from starting on YARN

- we now have Guava 18.0 on classpath instead of 16.0.1

- xd-yarn push doesn't work, hadoop client for 2.7.1 needs Servlet API 

- updating Hadoop to 2.7.1 instead of 2.6.0
  -- this causes Curator to also update to 2.7.1 which throws exception on startup
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,182131200,XD-1317,,9223372036854775807,false,thomas.risberg(thomas.risberg),,,https://github.com/spring-projects/spring-xd/pull/1794,"0|i08t3b:",9223372036854775807,9223372036854775807,,,Sprint 58,,,3.0,,,,,,,,,,,,,,,,,,,
Spark Tap Tests Do Not Clean Up RabbitMQ,XD-3510,66048,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,,,grussell,grussell,28/Sep/15 4:56 PM,28/Sep/15 4:56 PM,10/Jul/21 8:37 AM,,,,,,,,,,,,,,,0,,,,,,,2 Exchanges left behind.,,,,,,,,,,,,,,,,,,,,,,,,"28/Sep/15 4:56 PM;grussell;Screen Shot 2015-09-28 at 12.54.35 PM.png;https://jira.spring.io/secure/attachment/23131/Screen+Shot+2015-09-28+at+12.54.35+PM.png",,,,,,,,,,,,,182390400,,,9223372036854775807,false,grussell(grussell),,,,"0|i08smf:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
CORS issue when trying to use HTTP in singlenode,XD-3509,66046,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Cannot Reproduce,hillert,imorti,imorti,28/Sep/15 3:29 PM,05/Oct/15 3:18 PM,10/Jul/21 8:37 AM,05/Oct/15 3:18 PM,1.2.1,,,,,,,,Configuration,,,,,0,,,,,,,"When I'm trying to send a json object to spring-xd I get the following error even though I opened up requests to allow all. 

XMLHttpRequest cannot load http://localhost:9000/. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://localhost:3000' is therefore not allowed access.

Config: 
spring:
  profiles: singlenode
xd:
  transport: local
  ui:
     allow_origin: ""*""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182217600,,2015-09-30 17:14:34.05,9223372036854775807,true,hillert(hillert),,,,"0|i08slz:",9223372036854775807,9223372036854775807,,,,,,3.0,,"30/Sep/15 5:14 PM;hillert;Added more documentation as part of XD-3503.

I tested that the header is being set:

{code}
curl -H ""Origin: http://example.com"" --verbose  http://localhost:9393/
{code}

And the response has set the respective header:

{code}
Access-Control-Allow-Origin: *
{code}

Maybe there is something else into play here. Can you check whether in your case the header is set?

I added this to my *server.yml*:

{code}
---
spring:
  profiles: admin
xd:
  ui:
    allow_origin: ""*""
---
{code}",,,,,,,,,,,,,,,,,
Refactor to replace codec implementation with SI library,XD-3508,66022,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,grussell,sabby,sabby,25/Sep/15 9:51 PM,09/Oct/15 7:55 PM,10/Jul/21 8:37 AM,09/Oct/15 7:55 PM,,,,,,,1.3 RC1,,,,,,,0,,,,,,,"As a XD developer, I'd like to refactor and replace {{codec}} code from XD with SI library, so I don't have to maintain duplicate code.",,,,,,,,,,,,,XD-3493,,,,,,,,,,,,,,,,,,,,,,,3.0,182649600,,,9223372036854775807,true,grussell(grussell),"* {{codec}} code is removed in XD 
* Existing {{codec}} test cases successfully runs after refactoring
* {{codec}} documentation updated",,https://github.com/spring-projects/spring-xd/pull/1800,"0|hzzytu:",9223372036854775807,9223372036854775807,,,Sprint 59,,,3.0,,,,,,,,,,,,,,,,,,,
UI - Container List - Module Properties - Escape Passwords,XD-3506,66016,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,hillert,hillert,hillert,25/Sep/15 4:55 PM,29/Sep/15 2:32 PM,10/Jul/21 8:37 AM,29/Sep/15 2:32 PM,1.2.1,,,,,,1.2.2,1.3 M1,REST,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,182649600,,,9223372036854775807,true,hillert(hillert),,,https://github.com/spring-projects/spring-xd/pull/1778,"0|i08sfb:",9223372036854775807,9223372036854775807,,,Sprint 58,,,1.0,,,,,,,,,,,,,,,,,,,
Admin app crashes with SSL certification errors,XD-3505,66015,Bug,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,Complete,pharris,sabby,sabby,25/Sep/15 4:37 PM,30/Sep/15 11:02 AM,10/Jul/21 8:37 AM,30/Sep/15 11:02 AM,,,,,,,,,,,,,,0,,,,,,,"As a s-c-d user, I'm unable to push admin app to CF due to SSL certification errors while bootstrapping. 

Consider adding [CF trusted certificate|https://github.com/pivotal-cf/cloudfoundry-certificate-truster] as a CF SPI dependency.

Adding CF trusted certificate as dependency doesn't help either:

{code}
> Fri Sep 25 2015 12:55:32 GMT-0400 (EDT) [App/0] ERR Caused by: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
> Fri Sep 25 2015 12:55:32 GMT-0400 (EDT) [App/0] ERR at sun.security.validator.PKIXValidator.doBuild(PKIXValidator.java:387)
> Fri Sep 25 2015 12:55:32 GMT-0400 (EDT) [App/0] ERR at sun.security.validator.PKIXValidator.engineValidate(PKIXValidator.java:292)
> Fri Sep 25 2015 12:55:32 GMT-0400 (EDT) [App/0] ERR at sun.security.validator.Validator.validate(Validator.java:260)
> Fri Sep 25 2015 12:55:32 GMT-0400 (EDT) [App/0] ERR at sun.security.ssl.X509TrustManagerImpl.validate(X509TrustManagerImpl.java:324)
> Fri Sep 25 2015 12:55:32 GMT-0400 (EDT) [App/0] ERR at sun.security.ssl.X509TrustManagerImpl.checkTrusted(X509TrustManagerImpl.java:229)
> Fri Sep 25 2015 12:55:32 GMT-...
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182217600,XD-3324,2015-09-30 10:48:49.486,9223372036854775807,true,zteve(zteve),,,https://github.com/spring-cloud/spring-cloud-dataflow/pull/94,"0|i000ie:wrn0qzzzzzz000008u3ygfi03r",9223372036854775807,9223372036854775807,,,Sprint 58,,,3.0,,"30/Sep/15 10:48 AM;zteve;The fix for this issue is a commit in the resolution of PR-94.","30/Sep/15 11:02 AM;zteve;Fix in PR-94: commit https://github.com/spring-cloud/spring-cloud-dataflow/commit/a67dee286ee68d773064ef8ddf7623245e01e599.",,,,,,,,,,,,,,,,
Composed modules destination binding order incorrect,XD-3475,65901,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,,,loesak,loesak,19/Sep/15 2:32 AM,22/Sep/15 2:20 AM,10/Jul/21 8:37 AM,,,,,,,,,,,,,,,0,,,,,,,"Created a stream with definition:
{code}
mySourceModule | myProcessorModule | log
{code}
This stream worked fine, but when created composed module with definition
{code}
mySourceModule | myProcessorModule
{code}
Then stream definition
{code}
myComposedModule | log
{code}

get an error stating that the output channel of mySourceModule has no subscribers. Looking at previous bugs, this appears to be a module binding order in which the source is started before the processor has subscribed to the output channel of the source.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183254400,,,9223372036854775807,true,loesak(loesak),,,,"0|i08rtj:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
